feature_id,family,required_raw_sources,source_capability,campaign_coverage,historical_availability,earliest_usable,latest_usable,market_support,market_coverage,timeframes,causal_method,max_age,coverage_status,historical_campaign_eligible,forward_shadow_required,formula_implemented,notes
trend.ema_20_50_spread,trend,official klines archive; completed-bar OHLCV/taker fields,ARCHIVE_CAPABLE,PARTIAL,PARTIAL,after declared warmup; campaign archive dependent,acquisition cutoff,spot;um,spot=PARTIAL;um=PARTIAL,15m;1h;4h,trailing formula on completed bars; backward as-of for external sources,bar-close,PARTIAL,False,True,True,missing history is fail-closed; never imputed or substituted from another venue; kline coverage is full for BTC/ETH anchors but candidate universe is not materialized
trend.ema_50_200_regime,trend,official klines archive; completed-bar OHLCV/taker fields,ARCHIVE_CAPABLE,PARTIAL,PARTIAL,after declared warmup; campaign archive dependent,acquisition cutoff,spot;um,spot=PARTIAL;um=PARTIAL,15m;1h;4h,trailing formula on completed bars; backward as-of for external sources,bar-close,PARTIAL,False,True,True,missing history is fail-closed; never imputed or substituted from another venue; kline coverage is full for BTC/ETH anchors but candidate universe is not materialized
trend.ema_slope,trend,official klines archive; completed-bar OHLCV/taker fields,ARCHIVE_CAPABLE,PARTIAL,PARTIAL,after declared warmup; campaign archive dependent,acquisition cutoff,spot;um,spot=PARTIAL;um=PARTIAL,15m;1h;4h,trailing formula on completed bars; backward as-of for external sources,bar-close,PARTIAL,False,True,True,missing history is fail-closed; never imputed or substituted from another venue; kline coverage is full for BTC/ETH anchors but candidate universe is not materialized
trend.adx_dmi,trend,official klines archive; completed-bar OHLCV/taker fields,ARCHIVE_CAPABLE,PARTIAL,PARTIAL,after declared warmup; campaign archive dependent,acquisition cutoff,spot;um,spot=PARTIAL;um=PARTIAL,15m;1h;4h,trailing formula on completed bars; backward as-of for external sources,bar-close,PARTIAL,False,True,True,missing history is fail-closed; never imputed or substituted from another venue; kline coverage is full for BTC/ETH anchors but candidate universe is not materialized
trend.kaufman_er,trend,official klines archive; completed-bar OHLCV/taker fields,ARCHIVE_CAPABLE,PARTIAL,PARTIAL,after declared warmup; campaign archive dependent,acquisition cutoff,spot;um,spot=PARTIAL;um=PARTIAL,15m;1h;4h,trailing formula on completed bars; backward as-of for external sources,bar-close,PARTIAL,False,True,True,missing history is fail-closed; never imputed or substituted from another venue; kline coverage is full for BTC/ETH anchors but candidate universe is not materialized
trend.donchian,trend,official klines archive; completed-bar OHLCV/taker fields,ARCHIVE_CAPABLE,PARTIAL,PARTIAL,after declared warmup; campaign archive dependent,acquisition cutoff,spot;um,spot=PARTIAL;um=PARTIAL,15m;1h;4h,trailing formula on completed bars; backward as-of for external sources,bar-close,PARTIAL,False,True,True,missing history is fail-closed; never imputed or substituted from another venue; kline coverage is full for BTC/ETH anchors but candidate universe is not materialized
momentum.roc,momentum,official klines archive; completed-bar OHLCV/taker fields,ARCHIVE_CAPABLE,PARTIAL,PARTIAL,after declared warmup; campaign archive dependent,acquisition cutoff,spot;um,spot=PARTIAL;um=PARTIAL,15m;1h;4h,trailing formula on completed bars; backward as-of for external sources,bar-close,PARTIAL,False,True,True,missing history is fail-closed; never imputed or substituted from another venue; kline coverage is full for BTC/ETH anchors but candidate universe is not materialized
momentum.rsi,momentum,official klines archive; completed-bar OHLCV/taker fields,ARCHIVE_CAPABLE,PARTIAL,PARTIAL,after declared warmup; campaign archive dependent,acquisition cutoff,spot;um,spot=PARTIAL;um=PARTIAL,15m;1h;4h,trailing formula on completed bars; backward as-of for external sources,bar-close,PARTIAL,False,True,True,missing history is fail-closed; never imputed or substituted from another venue; kline coverage is full for BTC/ETH anchors but candidate universe is not materialized
volatility.atr_natr,volatility,official klines archive; completed-bar OHLCV/taker fields,ARCHIVE_CAPABLE,PARTIAL,PARTIAL,after declared warmup; campaign archive dependent,acquisition cutoff,spot;um,spot=PARTIAL;um=PARTIAL,15m;1h;4h,trailing formula on completed bars; backward as-of for external sources,bar-close,PARTIAL,False,True,True,missing history is fail-closed; never imputed or substituted from another venue; kline coverage is full for BTC/ETH anchors but candidate universe is not materialized
volatility.bollinger_bandwidth,volatility,official klines archive; completed-bar OHLCV/taker fields,ARCHIVE_CAPABLE,PARTIAL,PARTIAL,after declared warmup; campaign archive dependent,acquisition cutoff,spot;um,spot=PARTIAL;um=PARTIAL,15m;1h;4h,trailing formula on completed bars; backward as-of for external sources,bar-close,PARTIAL,False,True,True,missing history is fail-closed; never imputed or substituted from another venue; kline coverage is full for BTC/ETH anchors but candidate universe is not materialized
volatility.realized_percentile,volatility,official klines archive; completed-bar OHLCV/taker fields,ARCHIVE_CAPABLE,PARTIAL,PARTIAL,after declared warmup; campaign archive dependent,acquisition cutoff,spot;um,spot=PARTIAL;um=PARTIAL,15m;1h;4h,trailing formula on completed bars; backward as-of for external sources,bar-close,PARTIAL,False,True,True,missing history is fail-closed; never imputed or substituted from another venue; kline coverage is full for BTC/ETH anchors but candidate universe is not materialized
volume.rvol,volume,official klines archive; completed-bar OHLCV/taker fields,ARCHIVE_CAPABLE,PARTIAL,PARTIAL,after declared warmup; campaign archive dependent,acquisition cutoff,spot;um,spot=PARTIAL;um=PARTIAL,15m;1h;4h,trailing formula on completed bars; backward as-of for external sources,bar-close,PARTIAL,False,True,True,missing history is fail-closed; never imputed or substituted from another venue; kline coverage is full for BTC/ETH anchors but candidate universe is not materialized
volume.vwap_deviation,volume,official klines archive; completed-bar OHLCV/taker fields,ARCHIVE_CAPABLE,PARTIAL,PARTIAL,after declared warmup; campaign archive dependent,acquisition cutoff,spot;um,spot=PARTIAL;um=PARTIAL,15m;1h;4h,trailing formula on completed bars; backward as-of for external sources,bar-close,PARTIAL,False,True,True,missing history is fail-closed; never imputed or substituted from another venue; kline coverage is full for BTC/ETH anchors but candidate universe is not materialized
orderflow.taker_ratio,order_flow,official klines archive; completed-bar OHLCV/taker fields,ARCHIVE_CAPABLE,PARTIAL,PARTIAL,after declared warmup; campaign archive dependent,acquisition cutoff,spot;um,spot=PARTIAL;um=PARTIAL,15m;1h;4h,trailing formula on completed bars; backward as-of for external sources,bar-close,PARTIAL,False,True,True,missing history is fail-closed; never imputed or substituted from another venue; kline coverage is full for BTC/ETH anchors but candidate universe is not materialized
orderflow.cvd,order_flow,official klines archive; completed-bar OHLCV/taker fields,ARCHIVE_CAPABLE,PARTIAL,PARTIAL,after declared warmup; campaign archive dependent,acquisition cutoff,spot;um,spot=PARTIAL;um=PARTIAL,15m;1h;4h,trailing formula on completed bars; backward as-of for external sources,bar-close,PARTIAL,False,True,True,missing history is fail-closed; never imputed or substituted from another venue; kline coverage is full for BTC/ETH anchors but candidate universe is not materialized
microstructure.spread,microstructure,historical depth/best bid-ask; forward-only collector,FORWARD_ONLY_OR_UNVERIFIED_ARCHIVE,HISTORICAL_UNAVAILABLE,HISTORICAL_UNAVAILABLE,after declared warmup; campaign archive dependent,acquisition cutoff,spot;um,spot=HISTORICAL_UNAVAILABLE;um=HISTORICAL_UNAVAILABLE,15m;1h;4h,trailing formula on completed bars; backward as-of for external sources,bar-close,HISTORICAL_UNAVAILABLE,False,True,True,missing history is fail-closed; never imputed or substituted from another venue; kline coverage is full for BTC/ETH anchors but candidate universe is not materialized
microstructure.top_book_imbalance,microstructure,historical depth/best bid-ask; forward-only collector,FORWARD_ONLY_OR_UNVERIFIED_ARCHIVE,HISTORICAL_UNAVAILABLE,HISTORICAL_UNAVAILABLE,after declared warmup; campaign archive dependent,acquisition cutoff,spot;um,spot=HISTORICAL_UNAVAILABLE;um=HISTORICAL_UNAVAILABLE,15m;1h;4h,trailing formula on completed bars; backward as-of for external sources,bar-close,HISTORICAL_UNAVAILABLE,False,True,True,missing history is fail-closed; never imputed or substituted from another venue; kline coverage is full for BTC/ETH anchors but candidate universe is not materialized
derivatives.oi_change,derivatives,Binance openInterestHist REST or UM Vision metrics,SHORT_RETENTION_OR_UNVERIFIED_METRICS,HISTORICAL_UNAVAILABLE,HISTORICAL_UNAVAILABLE,after declared warmup; campaign archive dependent,acquisition cutoff,um,spot=NOT_APPLICABLE;um=HISTORICAL_UNAVAILABLE,15m;1h;4h,trailing formula on completed bars; backward as-of for external sources,31d,HISTORICAL_UNAVAILABLE,False,True,True,missing history is fail-closed; never imputed or substituted from another venue; kline coverage is full for BTC/ETH anchors but candidate universe is not materialized
derivatives.funding_zscore,derivatives,Binance UM fundingRate archive/event history,EVENT_ARCHIVE_VERIFIED,AVAILABLE,AVAILABLE,after declared warmup; campaign archive dependent,acquisition cutoff,um,spot=NOT_APPLICABLE;um=AVAILABLE,15m;1h;4h,trailing formula on completed bars; backward as-of for external sources,bar-close,AVAILABLE,True,False,True,missing history is fail-closed; never imputed or substituted from another venue; kline coverage is full for BTC/ETH anchors but candidate universe is not materialized
